# TS,BOND,ANGLE,DIHED,IMPRP,ELECT,VDW,BOUNDARY,MISC,KINETIC,TOTAL,TEMP,POTENTIAL,TOTALAVG,TEMPAVG,PRESSURE,GPRESSURE,VOLUME,PRESSAVG,GPRESSAVG
2.510000000000000000e+03,1.791705570000000080e+04,4.184415739999999641e+04,5.589255189999999857e+04,8.448603000000000520e+02,-3.268537504300000146e+06,2.335552246999999916e+05,3.485990770000000339e+04,0.000000000000000000e+00,5.068104070000000065e+05,-2.376813339600000065e+06,2.980609999999999786e+02,-2.883623746600000188e+06,-2.376941419999999925e+06,2.977570999999999799e+02,1.377746999999999957e+02,1.908294999999999959e+02,8.032525059799999930e+06,-7.307559999999999434e+01,-1.841029999999999944e+01
2.520000000000000000e+03,1.778312970000000132e+04,4.208692220000000088e+04,5.585214719999999943e+04,9.146101999999999634e+02,-3.268250600600000005e+06,2.331695913000000000e+05,3.506064519999999902e+04,0.000000000000000000e+00,5.067765517000000109e+05,-2.376607003000000026e+06,2.980410999999999717e+02,-2.883383554800000042e+06,-2.376903930800000206e+06,2.977726000000000113e+02,2.694180000000000064e+01,7.902620000000000289e+01,8.032421663900000043e+06,-7.999469999999999459e+01,-2.551510000000000034e+01
2.530000000000000000e+03,1.792256699999999910e+04,4.208212400000000343e+04,5.582990260000000126e+04,8.916452000000000453e+02,-3.268608753699999768e+06,2.333366048000000010e+05,3.508723099999999977e+04,0.000000000000000000e+00,5.067573927000000258e+05,-2.376701286299999803e+06,2.980298000000000229e+02,-2.883458679099999834e+06,-2.376867783799999859e+06,2.978014999999999759e+02,4.527875000000000227e+02,5.101521999999999935e+02,8.032366022599999793e+06,-3.578889999999999816e+01,1.889420000000000144e+01
2.540000000000000000e+03,1.783056160000000091e+04,4.205375699999999779e+04,5.586632499999999709e+04,8.937215999999999667e+02,-3.268214385900000110e+06,2.333558655000000144e+05,3.472821040000000357e+04,0.000000000000000000e+00,5.069397025000000140e+05,-2.376546242399999872e+06,2.981370999999999754e+02,-2.883485944800000172e+06,-2.376822675600000191e+06,2.978331000000000017e+02,-5.989954999999999927e+02,-5.447231000000000449e+02,8.032392797799999826e+06,-5.615400000000000347e+01,-1.536200000000000010e+00
2.550000000000000000e+03,1.785138739999999962e+04,4.195949480000000040e+04,5.589486649999999645e+04,8.928608000000000402e+02,-3.268452780499999877e+06,2.330662754999999888e+05,3.494504540000000270e+04,0.000000000000000000e+00,5.074151315000000177e+05,-2.376427718599999789e+06,2.984166999999999916e+02,-2.883842850200000219e+06,-2.376779832100000232e+06,2.978591000000000122e+02,6.055667999999999438e+02,6.606336999999999762e+02,8.032346733799999580e+06,-2.374230000000000018e+01,3.097080000000000055e+01
2.560000000000000000e+03,1.782962940000000162e+04,4.203785429999999906e+04,5.588710160000000178e+04,9.226100000000000136e+02,-3.269038486399999820e+06,2.341452210999999952e+05,3.501123769999999786e+04,0.000000000000000000e+00,5.067320861000000150e+05,-2.376472746199999936e+06,2.980149999999999864e+02,-2.883204832299999893e+06,-2.376740656899999827e+06,2.978670000000000186e+02,-6.321064999999999827e+02,-5.775597000000000207e+02,8.032393418700000271e+06,-4.840240000000000009e+01,6.477299999999999613e+00
2.570000000000000000e+03,1.785535770000000048e+04,4.196512769999999728e+04,5.594953639999999723e+04,9.147314000000000078e+02,-3.268035451200000010e+06,2.329920388000000094e+05,3.488165869999999995e+04,0.000000000000000000e+00,5.070404906000000192e+05,-2.376436509899999946e+06,2.981963000000000079e+02,-2.883477000500000082e+06,-2.376690853600000031e+06,2.979008000000000038e+02,3.669309999999999832e+02,4.188953999999999951e+02,8.032378212700000033e+06,-7.564000000000000057e+00,4.722409999999999997e+01
2.580000000000000000e+03,1.781761449999999968e+04,4.205783260000000155e+04,5.587788229999999749e+04,9.080293000000000347e+02,-3.266899802900000010e+06,2.321011645000000135e+05,3.471340260000000126e+04,0.000000000000000000e+00,5.069776919999999809e+05,-2.376446185099999886e+06,2.981594000000000051e+02,-2.883423877100000158e+06,-2.376662812899999786e+06,2.979021000000000186e+02,-5.847261999999999489e+02,-5.304799000000000433e+02,8.032380684500000440e+06,-4.384239999999999782e+01,1.088059999999999938e+01
2.590000000000000000e+03,1.773904829999999856e+04,4.192710530000000290e+04,5.589925319999999920e+04,9.203885999999999967e+02,-3.266083324299999978e+06,2.319932014999999956e+05,3.472019479999999749e+04,0.000000000000000000e+00,5.065010802000000258e+05,-2.376383052300000098e+06,2.978790999999999940e+02,-2.882884132499999832e+06,-2.376639202500000130e+06,2.978994999999999891e+02,3.625960999999999785e+02,4.175061000000000035e+02,8.032333190100000240e+06,-7.177800000000000402e+00,4.747070000000000078e+01
2.600000000000000000e+03,1.784204539999999906e+04,4.192066309999999794e+04,5.584695219999999972e+04,8.974391000000000531e+02,-3.265984053400000092e+06,2.318531124999999884e+05,3.475654159999999683e+04,0.000000000000000000e+00,5.063380573999999906e+05,-2.376529242200000212e+06,2.977832000000000221e+02,-2.882867299600000028e+06,-2.376617358200000133e+06,2.979175999999999931e+02,6.204990000000000094e+01,1.136974000000000018e+02,8.032367978799999692e+06,-1.202210000000000001e+01,4.226010000000000133e+01
2.610000000000000000e+03,1.789710959999999977e+04,4.165230829999999696e+04,5.599600299999999697e+04,8.900533000000000357e+02,-3.266818824399999809e+06,2.324652620999999926e+05,3.500619490000000224e+04,0.000000000000000000e+00,5.068203427999999840e+05,-2.376091550199999940e+06,2.980668999999999755e+02,-2.882911893000000156e+06,-2.376592565400000196e+06,2.979381999999999948e+02,-3.714053999999999860e+02,-3.181557000000000244e+02,8.032411062800000422e+06,-3.228249999999999886e+01,2.184720000000000084e+01
2.620000000000000000e+03,1.776955589999999938e+04,4.207828790000000299e+04,5.588615849999999773e+04,9.215181999999999789e+02,-3.266234251900000032e+06,2.310583930999999866e+05,3.503519930000000022e+04,0.000000000000000000e+00,5.068772215999999898e+05,-2.376607917400000151e+06,2.981003000000000043e+02,-2.883485138900000136e+06,-2.376576490900000092e+06,2.979415000000000191e+02,4.815760000000000218e+01,9.947069999999999368e+01,8.032431056800000370e+06,-7.573699999999999655e+00,4.640970000000000084e+01
2.630000000000000000e+03,1.784632519999999931e+04,4.196379540000000270e+04,5.592506919999999809e+04,8.918469999999999800e+02,-3.266339862100000028e+06,2.322097989999999991e+05,3.483119950000000244e+04,0.000000000000000000e+00,5.063435804999999818e+05,-2.376328246300000232e+06,2.977864999999999895e+02,-2.882671826799999923e+06,-2.376579521900000051e+06,2.979361000000000104e+02,-3.752602999999999724e+02,-3.209943999999999846e+02,8.032436401600000449e+06,-4.278050000000000352e+01,1.120480000000000054e+01
2.640000000000000000e+03,1.771676150000000052e+04,4.199932190000000264e+04,5.587848210000000108e+04,9.153631000000000313e+02,-3.266591053499999922e+06,2.325610957000000053e+05,3.497871059999999852e+04,0.000000000000000000e+00,5.058923801000000094e+05,-2.376648938500000164e+06,2.975210999999999899e+02,-2.882541318700000178e+06,-2.376580755400000140e+06,2.979078999999999837e+02,6.507069000000000187e+02,7.092699999999999818e+02,8.032393932199999690e+06,1.625270000000000081e+01,7.056619999999999493e+01
2.650000000000000000e+03,1.766143639999999868e+04,4.209233660000000236e+04,5.593557620000000315e+04,9.074523000000000366e+02,-3.266457750599999912e+06,2.325492166999999899e+05,3.495006979999999749e+04,0.000000000000000000e+00,5.057969308999999776e+05,-2.376564731699999887e+06,2.974649999999999750e+02,-2.882361662599999923e+06,-2.376567572099999990e+06,2.979168000000000234e+02,-7.724847999999999502e+02,-7.171785999999999603e+02,8.032459344700000249e+06,-2.151399999999999935e+01,3.289569999999999794e+01
2.660000000000000000e+03,1.772052980000000025e+04,4.178441359999999986e+04,5.582338530000000173e+04,8.895919000000000096e+02,-3.266623568599999882e+06,2.319792993999999890e+05,3.491987500000000000e+04,0.000000000000000000e+00,5.073973307999999961e+05,-2.376109142800000031e+06,2.984062000000000126e+02,-2.883506473600000143e+06,-2.376538686100000050e+06,2.979696000000000140e+02,7.138365000000000009e+02,7.672012999999999465e+02,8.032459622600000352e+06,1.305000000000000049e-01,5.436930000000000263e+01
2.670000000000000000e+03,1.780683120000000054e+04,4.170996089999999822e+04,5.588150400000000081e+04,9.092770000000000437e+02,-3.265079854299999774e+06,2.314844925999999978e+05,3.489063629999999830e+04,0.000000000000000000e+00,5.062072506000000285e+05,-2.376189901800000109e+06,2.977062999999999988e+02,-2.882397152400000021e+06,-2.376503830300000031e+06,2.979542999999999893e+02,-4.358303999999999974e+02,-3.840233999999999810e+02,8.032586778500000015e+06,-4.226200000000000401e+00,4.988730000000000331e+01
2.680000000000000000e+03,1.802291059999999925e+04,4.219999010000000271e+04,5.588615030000000115e+04,9.126851000000000340e+02,-3.265788631200000178e+06,2.312963287000000128e+05,3.494893099999999686e+04,0.000000000000000000e+00,5.066841451000000234e+05,-2.375837490300000180e+06,2.979868000000000166e+02,-2.882521635400000028e+06,-2.376474050199999940e+06,2.979744000000000028e+02,1.120545000000000044e+02,1.691308999999999969e+02,8.032655400700000115e+06,-1.736649999999999849e+01,3.696909999999999741e+01
2.690000000000000000e+03,1.784373530000000028e+04,4.217642549999999756e+04,5.582196809999999823e+04,9.164115000000000464e+02,-3.266373991500000004e+06,2.315732257999999856e+05,3.482391950000000361e+04,0.000000000000000000e+00,5.068480055000000284e+05,-2.376370300299999770e+06,2.980831000000000017e+02,-2.883218305699999910e+06,-2.376449484600000083e+06,2.979846000000000004e+02,-3.245043999999999755e+02,-2.679261999999999944e+02,8.032766651399999857e+06,-9.053599999999999426e+00,4.525520000000000209e+01
2.700000000000000000e+03,1.747919050000000061e+04,4.191999309999999969e+04,5.587446070000000327e+04,9.125638000000000147e+02,-3.266695244599999860e+06,2.329249040000000095e+05,3.478876030000000173e+04,0.000000000000000000e+00,5.064351614999999874e+05,-2.376360210700000171e+06,2.978403000000000134e+02,-2.882795372200000100e+06,-2.376423587799999863e+06,2.979841000000000122e+02,-6.595013999999999896e+02,-6.040034000000000560e+02,8.032808320899999700e+06,-6.077060000000000173e+01,-6.461599999999999788e+00
2.710000000000000000e+03,1.769436630000000150e+04,4.187336879999999655e+04,5.606567779999999766e+04,8.626132999999999811e+02,-3.266295259000000078e+06,2.321941980000000040e+05,3.480642579999999725e+04,0.000000000000000000e+00,5.061417896000000183e+05,-2.376656819399999920e+06,2.976677999999999997e+02,-2.882798609000000171e+06,-2.376415761799999978e+06,2.979644000000000119e+02,7.806105999999999767e+02,8.336735999999999649e+02,8.032745818400000222e+06,-2.862879999999999825e+01,2.568059999999999832e+01
2.720000000000000000e+03,1.776548270000000048e+04,4.181226789999999892e+04,5.594471229999999923e+04,9.074294999999999618e+02,-3.267611652699999977e+06,2.329728826999999874e+05,3.475544989999999962e+04,0.000000000000000000e+00,5.064049234999999753e+05,-2.377048504199999850e+06,2.978226000000000226e+02,-2.883453427699999884e+06,-2.376437836800000165e+06,2.979535000000000196e+02,-9.345845000000000482e+02,-8.817205000000000155e+02,8.032782059600000270e+06,-7.670510000000000161e+01,-2.235670000000000002e+01
2.730000000000000000e+03,1.796836189999999988e+04,4.208123750000000291e+04,5.594893499999999767e+04,9.145991000000000213e+02,-3.267492361399999820e+06,2.328079265000000014e+05,3.477053209999999672e+04,0.000000000000000000e+00,5.061840312999999733e+05,-2.376816737999999896e+06,2.976926000000000272e+02,-2.883000769299999811e+06,-2.376443609399999958e+06,2.979365999999999985e+02,9.154833999999999605e+02,9.713229000000000042e+02,8.032736578800000250e+06,-5.357030000000000314e+01,7.017999999999999794e-01
2.740000000000000000e+03,1.783450809999999910e+04,4.202006760000000213e+04,5.591458570000000327e+04,9.363306999999999789e+02,-3.265604633100000210e+06,2.314692424999999930e+05,3.470324910000000091e+04,0.000000000000000000e+00,5.057408168999999762e+05,-2.376985832500000019e+06,2.974320000000000164e+02,-2.882726649399999995e+06,-2.376465588899999857e+06,2.979014000000000237e+02,-7.264593999999999596e+02,-6.713550999999999931e+02,8.032844820500000380e+06,-5.994350000000000023e+01,-5.629800000000000360e+00
2.750000000000000000e+03,1.794992420000000129e+04,4.207823249999999825e+04,5.586700899999999820e+04,8.750143000000000484e+02,-3.266124485199999996e+06,2.312456407999999938e+05,3.468777049999999872e+04,0.000000000000000000e+00,5.065558863000000129e+05,-2.376865007499999832e+06,2.979112999999999829e+02,-2.883420893900000025e+06,-2.376487453399999999e+06,2.978761000000000081e+02,2.870335999999999785e+02,3.429332999999999743e+02,8.032897860999999568e+06,-7.587019999999999698e+01,-2.151480000000000103e+01
2.760000000000000000e+03,1.813511869999999908e+04,4.198486540000000241e+04,5.584081390000000101e+04,8.893324000000000069e+02,-3.265759097500000149e+06,2.314779592000000121e+05,3.471263999999999942e+04,0.000000000000000000e+00,5.056250167999999830e+05,-2.377093351199999917e+06,2.973639000000000010e+02,-2.882718367999999784e+06,-2.376518483599999920e+06,2.978435000000000059e+02,-9.870449999999999591e+01,-4.428490000000000038e+01,8.033007059299999848e+06,-4.920009999999999906e+01,5.149000000000000021e+00
2.770000000000000000e+03,1.780261089999999967e+04,4.207194200000000274e+04,5.593278979999999865e+04,9.087202999999999520e+02,-3.265463322600000072e+06,2.308978613999999943e+05,3.497912520000000222e+04,0.000000000000000000e+00,5.060899884999999776e+05,-2.376780284599999897e+06,2.976372999999999820e+02,-2.882870273099999875e+06,-2.376535672300000209e+06,2.978156000000000176e+02,-9.202609999999999957e+01,-4.071300000000000097e+01,8.033117091300000437e+06,-7.214790000000000703e+01,-1.783149999999999835e+01
2.780000000000000000e+03,1.784111160000000018e+04,4.172475160000000324e+04,5.595654009999999835e+04,8.957749000000000024e+02,-3.265989769299999811e+06,2.317227405999999901e+05,3.487151529999999912e+04,0.000000000000000000e+00,5.064483132999999798e+05,-2.376529021999999881e+06,2.978480999999999881e+02,-2.882977335200000089e+06,-2.376539814199999906e+06,2.978000000000000114e+02,-1.390409999999999968e+02,-8.559999999999999432e+01,8.033195404400000349e+06,-4.986370000000000147e+01,4.412499999999999645e+00
2.790000000000000000e+03,1.793204479999999967e+04,4.184804119999999966e+04,5.584970939999999973e+04,8.818654999999999973e+02,-3.265836095000000205e+06,2.321729839999999967e+05,3.494572729999999865e+04,0.000000000000000000e+00,5.056888241000000271e+05,-2.376516898599999957e+06,2.974014000000000237e+02,-2.882205722699999809e+06,-2.376546506500000134e+06,2.977760999999999854e+02,-3.519732999999999947e+02,-2.954436000000000035e+02,8.033235376899999566e+06,-8.559210000000000207e+01,-3.123489999999999966e+01
2.800000000000000000e+03,1.777061539999999877e+04,4.204399889999999868e+04,5.586859820000000036e+04,9.218379999999999654e+02,-3.266588412599999923e+06,2.319982690000000002e+05,3.481631569999999920e+04,0.000000000000000000e+00,5.067746215000000084e+05,-2.376394155999999959e+06,2.980400000000000205e+02,-2.883168777400000021e+06,-2.376539752199999988e+06,2.977889999999999873e+02,2.759759000000000242e+02,3.315409999999999968e+02,8.033206963499999605e+06,-7.489579999999999416e+01,-2.034280000000000044e+01
2.810000000000000000e+03,1.786318950000000041e+04,4.205225190000000293e+04,5.588769260000000213e+04,9.070105999999999540e+02,-3.268129088700000197e+06,2.336453074999999953e+05,3.488550209999999788e+04,0.000000000000000000e+00,5.064623912000000128e+05,-2.376425743300000206e+06,2.978564000000000078e+02,-2.882888134500000160e+06,-2.376556461800000165e+06,2.977785000000000082e+02,-1.567190000000000083e+01,3.946000000000000085e+01,8.033188217400000431e+06,-5.710909999999999798e+01,-2.462000000000000188e+00
2.820000000000000000e+03,1.794744810000000143e+04,4.198602360000000044e+04,5.596134719999999652e+04,8.974519999999999982e+02,-3.266797018000000156e+06,2.319417608999999939e+05,3.500387810000000172e+04,0.000000000000000000e+00,5.072243514999999898e+05,-2.375834756599999964e+06,2.983045000000000186e+02,-2.883059108099999838e+06,-2.376517803799999878e+06,2.977887000000000057e+02,2.462212000000000103e+02,2.987350000000000136e+02,8.033197779099999927e+06,-4.720600000000000307e+01,7.501199999999999868e+00
2.830000000000000000e+03,1.765492269999999917e+04,4.210329409999999916e+04,5.586924259999999776e+04,8.861797000000000253e+02,-3.266936521399999969e+06,2.327029422999999952e+05,3.480126469999999972e+04,0.000000000000000000e+00,5.065189945999999763e+05,-2.376399680699999910e+06,2.978895999999999731e+02,-2.882918675400000066e+06,-2.376521375500000082e+06,2.977937999999999761e+02,-3.714218999999999937e+02,-3.188813000000000102e+02,8.033231286299999803e+06,-4.701400000000000290e+01,7.606900000000000439e+00
2.840000000000000000e+03,1.790394810000000143e+04,4.195947759999999835e+04,5.579942919999999867e+04,8.801113000000000284e+02,-3.267958793099999893e+06,2.333302066000000050e+05,3.469000140000000101e+04,0.000000000000000000e+00,5.067443177000000142e+05,-2.376651300999999978e+06,2.980221999999999980e+02,-2.883395618799999822e+06,-2.376521493699999992e+06,2.978188999999999851e+02,3.501974999999999909e+02,4.030899000000000001e+02,8.033234083499999717e+06,-6.203949999999999676e+01,-7.702099999999999724e+00
