sweep,helix,delta,count,total_skips,twist_deg,bend_deg,rmsd_nm,dev_max_nm,dev_mean_nm,n_core,solve_s,error
axis,h_XY_2_1,1,11,181,13.909,0.922,0.4477,1.0433,0.3875,14038,367.2,
axis,h_XY_2_1,2,12,182,13.65,1.689,0.4638,1.1786,0.4082,14036,373.4,
axis,h_XY_2_1,4,14,184,13.119,2.914,0.5235,1.4602,0.4708,14032,374.9,
axis,h_XY_2_1,6,16,186,12.632,4.265,0.6107,1.7499,0.5527,14028,366.4,
axis,h_XY_2_1,8,18,188,12.129,5.645,0.7153,2.0445,0.6473,14024,373.0,
axis,h_XY_2_1,12,22,192,11.026,8.282,0.9533,2.6424,0.8583,14016,362.6,
axis,h_XY_2_1,16,26,196,9.897,11.039,1.2108,3.2471,1.084,14008,380.4,
axis,h_XY_2_1,20,30,200,8.81,13.811,1.4774,3.8563,1.3169,14000,372.1,
axis,h_XY_2_2,-8,2,172,16.243,5.322,0.6999,2.1417,0.6163,14056,376.8,
axis,h_XY_2_2,-6,4,174,15.799,4.002,0.6021,1.8285,0.5325,14052,373.8,
axis,h_XY_2_2,-4,6,176,15.308,2.866,0.5205,1.5209,0.4601,14048,375.0,
axis,h_XY_2_2,-2,8,178,14.72,1.587,0.464,1.2236,0.4043,14044,365.8,
axis,h_XY_2_2,-1,9,179,14.452,0.86,0.4483,1.0821,0.3858,14042,374.4,
axis,h_XY_2_2,1,11,181,13.922,0.966,0.4468,1.0423,0.3863,14038,365.8,
axis,h_XY_2_2,4,14,184,13.12,2.994,0.5157,1.4474,0.4625,14032,369.5,
axis,h_XY_2_2,2,12,182,13.655,1.632,0.4611,1.1734,0.4051,14036,381.6,
axis,h_XY_2_2,6,16,186,12.601,4.159,0.5965,1.7278,0.5386,14028,370.3,
axis,h_XY_2_2,8,18,188,12.051,5.501,0.6944,2.0118,0.6273,14024,379.8,
axis,h_XY_2_2,12,22,192,10.925,8.16,0.9189,2.5855,0.8265,14016,377.3,
axis,h_XY_2_2,16,26,196,9.783,10.806,1.1629,3.1628,1.0404,14008,377.3,
axis,h_XY_2_3,-8,2,172,16.609,5.448,0.6996,2.1216,0.6159,14056,366.2,
axis,h_XY_2_2,20,30,200,8.67,13.508,1.416,3.7417,1.2615,14000,374.4,
axis,h_XY_2_3,-6,4,174,16.022,4.019,0.6021,1.8117,0.5323,14052,370.2,
axis,h_XY_2_3,-4,6,176,15.424,2.777,0.5208,1.5062,0.4602,14048,381.0,
axis,h_XY_2_3,-2,8,178,14.801,1.581,0.4643,1.2091,0.4045,14044,371.6,
axis,h_XY_2_3,1,11,181,13.883,0.949,0.4465,1.0374,0.386,14038,363.6,
axis,h_XY_2_3,-1,9,179,14.492,0.932,0.4486,1.0749,0.386,14042,381.3,
axis,h_XY_2_3,2,12,182,13.576,1.611,0.4604,1.1445,0.4045,14036,371.2,
axis,h_XY_2_3,4,14,184,12.952,2.858,0.5139,1.3858,0.4613,14032,364.6,
axis,h_XY_2_3,6,16,186,12.384,4.086,0.5936,1.6359,0.5367,14028,372.5,
axis,h_XY_2_3,8,18,188,11.707,5.419,0.6905,1.8899,0.6249,14024,373.1,
axis,h_XY_2_3,12,22,192,10.443,8.056,0.9133,2.4044,0.8233,14016,377.8,
axis,h_XY_2_3,16,26,196,9.18,10.741,1.1558,2.9235,1.0365,14008,373.5,
axis,h_XY_2_3,20,30,200,7.804,13.357,1.4079,3.4446,1.2571,14000,364.2,
axis,h_XY_2_4,-8,2,172,16.098,5.724,0.7178,2.2154,0.6344,14056,380.6,
axis,h_XY_2_4,-6,4,174,15.669,4.303,0.6135,1.869,0.5445,14052,373.3,
axis,h_XY_2_4,-4,6,176,15.143,2.963,0.5259,1.5396,0.4665,14048,364.1,
axis,h_XY_2_4,-2,8,178,14.661,1.707,0.4651,1.2252,0.4064,14044,370.5,
axis,h_XY_2_4,-1,9,179,14.421,1.013,0.4484,1.0738,0.3864,14042,372.5,
axis,h_XY_2_4,1,11,181,13.948,0.957,0.4478,1.0447,0.3873,14038,377.1,
axis,h_XY_2_4,2,12,182,13.711,1.745,0.464,1.177,0.4082,14036,373.4,
axis,h_XY_2_4,4,14,184,13.227,3.003,0.5244,1.4595,0.4712,14032,368.4,
axis,h_XY_2_4,12,22,192,11.272,8.49,0.9584,2.6313,0.8611,14016,365.3,
axis,h_XY_2_4,8,18,188,12.256,5.819,0.7181,2.0408,0.6489,14024,373.0,
axis,h_XY_2_4,6,16,186,12.776,4.345,0.6125,1.7483,0.5536,14028,380.2,
axis,h_XY_2_4,16,26,196,10.227,11.297,1.2181,3.2257,1.0881,14008,374.6,
axis,h_XY_2_4,20,30,200,9.182,14.05,1.4871,3.9096,1.3225,14000,365.9,
