crossover_id,site_class,source_helix,destination_helix,bp,n_samples,n_valid,n_stable,valid_fraction,mean_azimuth_deg,mean_polar_deg,resultant_length,mean_vector_ih_ax_perp,mean_direction_ih_ax_perp
f01e032a-a6f8-4b04-a1d7-ade8c033dfc8,reciprocal_lower,h_XY_1_0,h_XY_1_1,41,509,504,503,0.9901768172888016,170.96620119714757,42.10293820906245,0.9059869535982267,"[-0.5998975841831605, 0.6721892827035729, 0.09537723418017138]","[-0.6621481488233373, 0.7419414595694777, 0.10527440136016333]"
240f0cd7-526d-4b70-b3dc-0a5a58958ee9,reciprocal_upper,h_XY_1_1,h_XY_0_1,35,509,496,486,0.9744597249508841,35.841656786906405,83.01966473590656,0.7365839344450601,"[0.5926773814121746, 0.08951607334618703, 0.42810779794071996]","[0.804629796682568, 0.12152868011386664, 0.5812070803081728]"
85406cac-15d3-4f35-8315-f97221ca45d7,reciprocal_lower,h_XY_0_1,h_XY_0_2,41,509,467,465,0.9174852652259332,-176.9727421768074,53.8169124920339,0.9535253982464458,"[-0.7685493602676083, 0.5629303525535212, -0.04064460735769569]","[-0.8060082738026565, 0.590367444421263, -0.042625615880229326]"
6d9db1ba-083b-4660-bfe4-33f7abc0121c,reciprocal_upper,h_XY_2_0,h_XY_1_0,14,509,493,412,0.9685658153241651,9.057480320004904,113.99521473271419,0.8860297927884278,"[0.7993653724263381, -0.3603131799361617, 0.12742922521422312]","[0.9021879161767826, -0.4066603435559641, 0.14382047449351576]"
fd7a3b24-7e76-4a72-bb9e-a811b5bbe464,reciprocal_lower,h_XY_1_0,h_XY_1_1,20,509,509,509,1.0,179.9113489285681,68.11707459404847,0.8314636999033265,"[-0.7715536267001566, 0.30989588614398494, 0.0011937896794100558]","[-0.9279462552482621, 0.3727112634983539, 0.0014357688490175297]"
29262fb1-da8d-483e-a825-ca162bc3a9db,reciprocal_upper,h_XY_1_1,h_XY_0_1,14,509,507,500,0.9960707269155207,12.229984547394226,83.4378359905245,0.8297751952969253,"[0.80563064856588, 0.09482765463753443, 0.17462488006385202]","[0.9709023035782535, 0.11428113924712037, 0.21044842151658263]"
834b6e84-243f-491e-9b43-2d20d461c2ae,reciprocal_lower,h_XY_0_1,h_XY_0_2,20,509,509,509,1.0,175.39991819124612,58.94832012652372,0.8593564072998939,"[-0.733841178283068, 0.4432655019345827, 0.05904451387031746]","[-0.8539427553566559, 0.5158110164411611, 0.06870782991638578]"
27b1873c-fc41-4db8-ae58-9ea81cf24d03,reciprocal_lower,h_XY_2_3,h_XY_2_2,69,509,509,509,1.0,-25.981901556186106,113.49376666862288,0.8765546648859684,"[0.7226440006710217, -0.34943790148505904, -0.35217450480301804]","[0.8244140720704863, -0.3986492976231182, -0.401771297228602]"
ec429129-8499-4362-8fca-832f5c024601,reciprocal_upper,h_XY_2_2,h_XY_1_2,56,509,502,497,0.9862475442043221,-37.97200101558508,140.7918371022428,0.8682827293332429,"[0.43268526139868335, -0.672792724506462, -0.33771039734943087]","[0.4983230079111947, -0.7748544359774399, -0.38894059036364775]"
b67fc17f-4b34-4a49-824a-8a15736f1360,reciprocal_upper,h_XY_2_4,h_XY_2_5,49,509,506,506,0.9941060903732809,-114.37296868316271,28.641404804387133,0.7550329368642218,"[-0.14934990646133162, 0.6626447052951789, -0.3296533569282571]","[-0.1978058163682326, 0.8776368194575105, -0.43660791580478947]"
3e22a7ac-15d4-453d-810d-9a2e52837807,reciprocal_lower,h_XY_2_5,h_XY_2_4,69,509,491,485,0.9646365422396856,-11.192348225070287,44.44453678228652,0.8951518185909062,"[0.614880771696423, 0.6390744900829709, -0.1216643376253236]","[0.6869011031718967, 0.7139286060871365, -0.1359147522225227]"
f4dfac38-e125-48c4-87fb-affb4b022ed3,reciprocal_upper,h_XY_2_6,h_XY_2_5,126,509,509,509,1.0,37.378505737284364,121.2726175131549,0.8564538314825648,"[0.5816918396024708, -0.4445943430588295, 0.44439131328272696]","[0.6791864525791576, -0.5191106942556545, 0.5188736356208054]"
ab7a2fa2-5faa-4738-ad6e-1d9254dab0b6,unpaired,h_XY_2_5,h_XY_2_4,132,509,509,509,1.0,-33.7878040927076,97.71769913397853,0.8167295887925663,"[0.672637692236316, -0.10968049644355801, -0.45008437530331147]","[0.8235745361334682, -0.13429230182012514, -0.5510812654267927]"
f2ec0423-2350-44e6-8361-b91166f38997,reciprocal_upper,h_XY_2_4,h_XY_2_3,126,509,506,506,0.9941060903732809,55.21249067480066,94.08899992553803,0.8993584032655503,"[0.5118088947737762, -0.06412960249030103, 0.7367391579380329]","[0.5690822400896123, -0.07130594683659804, 0.8191830478960884]"
6b7d0391-7f0f-4af5-bdb8-e09e7d080529,unpaired,h_XY_2_3,h_XY_2_2,132,509,509,509,1.0,-45.24741424113021,154.51955972988802,0.6272691629335926,"[0.18998916350555956, -0.5662560716713579, -0.1916371096974424]","[0.3028829962197157, -0.9027322003573545, -0.30551017174381734]"
c8153e0e-815b-46f4-ab51-404f690f3841,reciprocal_upper,h_XY_2_2,h_XY_2_1,126,509,481,481,0.9449901768172888,6.0067682843813435,126.07924641168422,0.8195288790401075,"[0.6587093191414948, -0.48262354803755514, 0.06931181238811604]","[0.8037658415564606, -0.588903649866298, 0.08457519211440008]"
10b884e8-74a1-432a-afe0-35d1c881fca6,unpaired,h_XY_2_1,h_XY_2_0,132,509,509,509,1.0,54.536957886172736,146.4508377413612,0.8784697898991456,"[0.28166951044339544, -0.7321272024616632, 0.3954253634602691]","[0.32063653603356473, -0.8334119293342079, 0.4501297233063264]"
2e762013-7314-4fb8-a89a-14d507b74748,reciprocal_upper,h_XY_2_6,h_XY_2_5,105,509,479,448,0.9410609037328095,17.052760360212442,110.05392767455172,0.7688324325980205,"[0.6904661039929326, -0.2636360585516097, 0.21179210864142828]","[0.8980709901372472, -0.34290444493963, 0.2754723912020014]"
2eec59da-fb23-4b34-8b38-6c254509c655,reciprocal_lower,h_XY_2_5,h_XY_2_4,111,509,506,506,0.9941060903732809,-39.95237852909213,108.64506912195051,0.5964179653239178,"[0.43320596245639165, -0.19067764427602135, -0.362889817198968]","[0.7263462666170949, -0.3197047295053617, -0.6084488367178554]"
50cb7a62-a66a-4136-b9d6-92d54ad6d8ea,reciprocal_upper,h_XY_2_4,h_XY_2_3,105,509,509,509,1.0,24.0349536164436,112.39824959072159,0.9523083415832048,"[0.8041252542651453, -0.36286959976644684, 0.35860759399001585]","[0.8443958948509195, -0.38104213091652556, 0.37656668363718593]"
c254f47e-0d39-4c29-b6b5-91999ae8db7b,reciprocal_lower,h_XY_2_3,h_XY_2_2,111,509,509,509,1.0,-5.249059324567497,44.89134074120249,0.921201641807698,"[0.6474249690789151, 0.6526220879826858, -0.059479278404194105]","[0.7028048363097315, 0.7084465098238736, -0.06456705644540142]"
